x, y
1.8295454545454546, -4
2.022727272727273, -3.885204081632653
2.215909090909091, -3.770408163265306
2.5113636363636362, -3.575255102040816
2.8181818181818183, -3.3801020408163263
3.181818181818182, -3.1849489795918364
3.465909090909091, -3.012755102040816
3.8181818181818183, -2.829081632653061
4.284090909090909, -2.6224489795918364
4.6477272727272725, -2.4732142857142856
5.034090909090909, -2.3354591836734695
5.465909090909091, -2.186224489795918
5.795454545454546, -2.0943877551020407
6.2272727272727275, -1.9910714285714284
6.738636363636364, -1.8992346938775508
7.306818181818182, -1.8073979591836733
7.806818181818182, -1.7385204081632653
8.340909090909092, -1.6811224489795915
9.056818181818182, -1.6237244897959182
9.886363636363637, -1.589285714285714
10.181818181818182, -1.589285714285714
10.568181818181818, -1.589285714285714
11, -1.5778061224489797
