x,y
298.97698209718675,11.89801699716714
288.7468030690537,11.881019830028327
276.2148337595908,11.881019830028327
260.8695652173913,11.881019830028327
247.82608695652172,11.881019830028327
229.4117647058824,11.881019830028327
208.1841432225064,11.86402266288952
186.9565217391305,11.86402266288952
163.42710997442455,11.84702549575071
145.0127877237852,11.84702549575071
123.01790281329924,11.8300283286119
101.53452685421996,11.8300283286119
80.81841432225065,11.81303116147309
64.70588235294117,11.81303116147309
53.70843989769821,11.81303116147309
45.78005115089514,11.745042492917849
39.38618925831202,11.558073654390936
33.75959079283888,11.235127478753542
29.411764705882355,10.827195467422095
24.808184143222505,10.21529745042493
20.20460358056265,9.467422096317282
16.11253196930946,8.56657223796034
12.531969309462912,7.563739376770539
9.71867007672634,6.679886685552408
7.928388746803067,6.067988668555241
6.1381074168797936,5.3201133144475925
5.115089514066492,4.759206798866856
3.5805626598465423,4.011331444759207
2.557544757033246,3.314447592067989
1.790281329923268,2.787535410764873
1.27877237851662,2.226628895184136
1.023017902813296,1.69971671388102
0.255754475703324,1.1388101983002834
0.0,0.5269121813031162
-0.511508951406648,-0.0509915014164306
