x,y
71201,0.097860646
71400,0.09802231
71600,0.098183974
71801,0.098345638
72000,0.098507302
72200,0.098668966
72400,0.09883063
72600,0.098992294
72800,0.099153958
73000,0.099315622
73201,0.099477286
73400,0.09963895
73601,0.099800614
73800,0.099962278
74000,0.100123942
74200,0.100285607
74400,0.100447271
74600,0.100608935
74800,0.100770599
75000,0.100932263
75200,0.101093927
75401,0.101255591
75600,0.101417255
75800,0.101578919
76001,0.101740583
76200,0.101902247
76400,0.102063911
76600,0.102225575
76800,0.102387239
77000,0.102548903
77200,0.102710567
77400,0.102872232
77600,0.103033896
77800,0.10319556
78001,0.103357224
78200,0.103518888
78400,0.103626664
78600,0.103788328
78800,0.103949992
79000,0.104111656
79201,0.10427332
79400,0.104434984
79601,0.104596648
79800,0.104758312
80000,0.104919976
80200,0.10508164
80401,0.105243304
80600,0.105404968
80800,0.105512745
81000,0.105728297
81200,0.105836073
81400,0.105997737
81600,0.106159401
81800,0.106321065
82000,0.106482729
82200,0.106644393
82400,0.106806057
82600,0.106967721
82800,0.107075497
83000,0.107237161
83200,0.107398825
83401,0.107560489
83600,0.107722153
83800,0.107883817
84000,0.108045481
84200,0.108207146
84400,0.108314922
84600,0.108476586
84801,0.10863825
85000,0.108799914
85200,0.108961578
85400,0.109123242
85600,0.109284906
85800,0.109392682
86000,0.109554346
86200,0.10971601
86400,0.109877674
86600,0.110039338
86800,0.110201002
87000,0.110308778
87200,0.110470442
87401,0.110632106
87600,0.110793771
87800,0.110955435
88000,0.111117099
88200,0.111224875
88400,0.111386539
88601,0.111548203
88800,0.111709867
89001,0.111871531
89201,0.111979307
89400,0.112140971
89600,0.112302635
89800,0.112464299
90000,0.112625963
90201,0.112733739
90400,0.112895403
90600,0.113057067
90800,0.113218731
91000,0.113326508
91200,0.113488172
91401,0.113649836
91600,0.1138115
91800,0.113919276
92001,0.11408094
92200,0.114242604
92400,0.114404268
92600,0.114512044
92800,0.114673708
93000,0.114835372
93200,0.114997036
93400,0.115104812
93600,0.115266476
93800,0.11542814
94001,0.115589804
94200,0.115751468
94401,0.115859244
94600,0.116020909
94800,0.116182573
95000,0.116290349
95200,0.116452013
95400,0.116613677
95600,0.116721453
95800,0.116883117
96000,0.117044781
96200,0.117206445
96400,0.117314221
96600,0.117475885
96800,0.117637549
97000,0.117745325
97200,0.117906989
97400,0.118068653
97600,0.118176429
97800,0.118338093
98000,0.118499758
98200,0.118661422
98400,0.118769198
98601,0.118930862
98800,0.119038638
99001,0.119200302
99201,0.119361966
99400,0.119469742
99600,0.119631406
99801,0.11979307
100000,0.119900846
100200,0.12006251
100401,0.120224174
100600,0.12033195
100800,0.120493614
101000,0.120655278
101200,0.120763054
101400,0.120924718
101600,0.121086382
101800,0.121194159
102000,0.121355823
102200,0.121463599
102401,0.121625263
102600,0.121786927
102801,0.121894703
103001,0.122056367
103200,0.122164143
103400,0.122325807
103600,0.122487471
103800,0.122595247
104000,0.122756911
104200,0.122864687
104401,0.123026351
104600,0.123134127
104800,0.123295791
105000,0.123457455
105200,0.123565231
105401,0.123726896
105600,0.123834672
105800,0.123996336
106001,0.124158
106200,0.124265776
106401,0.12442744
106601,0.124535216
106800,0.12469688
107000,0.124804656
107201,0.12496632
107401,0.125074096
107600,0.12523576
107800,0.125343536
108000,0.1255052
108200,0.125612976
108400,0.12577464
108600,0.125882416
108801,0.12604408
109001,0.126205744
109200,0.126313521
109400,0.126475185
109600,0.126582961
109800,0.126744625
110000,0.126852401
110200,0.127014065
